id_producto,nombre,nombre_normalizado,sku,descripcion,descripcion_enriquecida,precio,costo,ganancia_unitaria,margen_pct,markup_ratio,valor_inventario,segmento_precio,rentabilidad,categoria,proveedor,lead_time_dias,stock_actual,stock_minimo,stock_maximo,punto_reorden,estado_stock,demanda_diaria_est,dias_cobertura,unidades_a_pedir
11,Flask,Flask,FLASK,A simple framework for building complex web applications.,[Tecnología] A simple framework for building complex web applications. — Proveedor: Desconocido,142200.0,65700.0,76500.0,53.8,2.164,4977000.0,Medio,Media,Tecnología,Desconocido,5,35,7,105,8,OK,19.6,1.8,70
12,fastapi,Fastapi,FASTAPI,"FastAPI framework, high performance, easy to learn, fast to code, ready for production","[Tecnología] FastAPI framework, high performance, easy to learn, fast to code, ready for production — Proveedor: tiangolo, tiangolo",401300.0,223000.0,178300.0,44.43,1.8,200650000.0,Premium,Media,Tecnología,"tiangolo, tiangolo",7,500,100,1500,125,OK,200.0,2.5,1000
13,Django,Django,DJANGO,"A high-level Python web framework that encourages rapid development and clean, pragmatic design.","[Tecnología] A high-level Python web framework that encourages rapid development and clean, pragmatic design. — Proveedor: Desconocido",85900.0,35200.0,50700.0,59.02,2.44,2577000.0,Medio,Alta,Tecnología,Desconocido,5,30,6,90,7,OK,16.8,1.8,60
14,starlette,Starlette,STARLETTE,The little ASGI library that shines.,"[Tecnología] The little ASGI library that shines. — Proveedor: Kludex, tomchristie, Kludex",192400.0,80900.0,111500.0,57.95,2.378,5387200.0,Medio,Alta,Tecnología,"Kludex, tomchristie, Kludex",13,28,5,84,7,OK,6.08,4.6,56
15,uvicorn,Uvicorn,UVICORN,The lightning-fast ASGI server.,"[Tecnología] The lightning-fast ASGI server. — Proveedor: Kludex, tomchristie, Kludex",140400.0,72900.0,67500.0,48.08,1.926,70200000.0,Medio,Media,Tecnología,"Kludex, tomchristie, Kludex",13,500,100,1500,125,OK,107.69,4.6,1000
16,requests,Requests,REQUESTS,Python HTTP for Humans.,"[Tecnología] Python HTTP for Humans. — Proveedor: graffatcolmingov, Lukasa, nateprewitt",213200.0,96600.0,116600.0,54.69,2.207,106600000.0,Premium,Media,Tecnología,"graffatcolmingov, Lukasa, nateprewitt",11,500,100,1500,125,OK,127.27,3.9,1000
17,pillow,Pillow,PILLOW,Python Imaging Library (fork),"[Accesorios] Python Imaging Library (fork) — Proveedor: aclark, hugovk, radarhere",135600.0,54300.0,81300.0,59.96,2.497,5424000.0,Medio,Alta,Accesorios,"aclark, hugovk, radarhere",7,40,8,120,10,OK,16.0,2.5,80
18,pydantic,Pydantic,PYDANTIC,Data validation using Python type hints,"[Tecnología] Data validation using Python type hints — Proveedor: davidhewitt, dmontagu, samuelcolvin",341700.0,191100.0,150600.0,44.07,1.788,83716500.0,Premium,Media,Tecnología,"davidhewitt, dmontagu, samuelcolvin",12,245,49,735,61,OK,57.17,4.3,490
19,SQLAlchemy,Sqlalchemy,SQLALCHEMY,Database Abstraction Library,[Tecnología] Database Abstraction Library — Proveedor: Mike Bayer,255600.0,116900.0,138700.0,54.26,2.186,8434800.0,Premium,Media,Tecnología,Mike Bayer,4,33,6,99,8,OK,23.25,1.4,66
20,celery,Celery,CELERY,Distributed Task Queue.,[Tecnología] Distributed Task Queue. — Proveedor: Ask Solem,440400.0,223600.0,216800.0,49.23,1.97,50205600.0,Premium,Media,Tecnología,Ask Solem,12,114,22,342,28,OK,26.67,4.3,228
